contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250806C00540000,2025-08-01 17:31:17+00:00,540.0,81.45,91.5,94.29,0.0,0.0,1,1,1.2773473632812498,True,REGULAR,USD
SPY250806C00580000,2025-08-06 16:52:44+00:00,580.0,52.29,52.85,53.0,2.209999,4.412937,13,22,0.77929908203125,True,REGULAR,USD
SPY250806C00585000,2025-08-06 18:55:40+00:00,585.0,47.97,46.97,47.99,10.600002,28.365005,30,7,0.7539087109375,True,REGULAR,USD
SPY250806C00590000,2025-08-06 18:13:21+00:00,590.0,42.81,42.74,43.01,9.48,28.44284,14,2,0.6074258007812501,True,REGULAR,USD
SPY250806C00595000,2025-08-06 19:18:11+00:00,595.0,37.9,37.74,38.0,4.5600014,13.677268,75,49,0.5390671093750001,True,REGULAR,USD
SPY250806C00600000,2025-08-06 19:27:50+00:00,600.0,33.03,32.74,32.91,4.9299984,17.544477,184,62,0.5029346582031251,True,REGULAR,USD
SPY250806C00601000,2025-08-06 19:30:06+00:00,601.0,32.01,31.91,32.36,5.039999,18.687428,48,3,0.5830119824218749,True,REGULAR,USD
SPY250806C00602000,2025-08-06 16:00:33+00:00,602.0,30.69,30.94,31.06,2.0,6.97107,28,4,0.5195360546875,True,REGULAR,USD
SPY250806C00603000,2025-08-05 18:20:00+00:00,603.0,26.07,29.91,30.32,0.0,0.0,10,14,0.5463912548828126,True,REGULAR,USD
SPY250806C00604000,2025-08-06 15:14:50+00:00,604.0,28.25,28.75,28.99,9.389999,49.787907,18,7,0.48633326171875,True,REGULAR,USD
SPY250806C00605000,2025-08-06 19:27:09+00:00,605.0,27.98,27.91,28.32,4.3199997,18.258663,14,32,0.5161181201171875,True,REGULAR,USD
SPY250806C00606000,2025-08-06 14:36:21+00:00,606.0,23.32,26.91,27.29,0.8199997,3.644443,20,9,0.5473678076171876,True,REGULAR,USD
SPY250806C00607000,2025-08-06 17:54:22+00:00,607.0,25.1,24.97,25.99,3.7299995,17.454372,64,31,0.44336494140625,True,REGULAR,USD
SPY250806C00608000,2025-08-06 17:07:24+00:00,608.0,25.01,23.97,25.01,4.16,19.952038,49,21,0.436529072265625,True,REGULAR,USD
SPY250806C00609000,2025-08-05 14:44:14+00:00,609.0,18.94,23.82,23.91,0.0,0.0,2,8,0.38086556640624997,True,REGULAR,USD
SPY250806C00610000,2025-08-06 19:35:02+00:00,610.0,23.26,22.77,22.92,4.5699997,24.451576,57,79,0.372076591796875,True,REGULAR,USD
